severe dehydration | Suffering from severe dehydration started for two hours. | Emergency Department (ED)
throbbing left arm pain with exertion | Having throbbing left arm pain with exertion came on for several weeks. | Cardiology
shortness of breath lying flat | Noticing shortness of breath lying flat appeared since last night. | Cardiology
dull dizziness when standing | Experiencing dull dizziness when standing appeared for three days. | Cardiology
fainting during exercise | Feeling fainting during exercise appeared for six months. | Cardiology
chest tightness after stress | Experiencing chest tightness after stress came on since yesterday. | Cardiology
burning abdominal swelling | Experiencing burning abdominal swelling started since last night. | Gastroenterology
alternating constipation and diarrhea | Noticing alternating constipation and diarrhea appeared for several weeks. | Gastroenterology
severe sensation of food stuck in chest | Having severe sensation of food stuck in chest appeared for two hours. | Gastroenterology
persistent alternating constipation and diarrhea at night | Having persistent alternating constipation and diarrhea at night came on for two hours. | Gastroenterology
vomiting undigested food with minimal activity | Noticing vomiting undigested food with minimal activity started since yesterday. | Gastroenterology
diarrhea for a week | Experiencing diarrhea for a week appeared since this morning. | Gastroenterology
projectile vomiting | Noticing projectile vomiting appeared since yesterday. | Gastroenterology
chronic constipation | Feeling chronic constipation started for a week. | Gastroenterology
sudden heartburn at night | Feeling sudden heartburn at night appeared for 10 minutes. | Gastroenterology
heartburn at night | Feeling heartburn at night began for six months. | Gastroenterology
pain in right upper abdomen | Noticing pain in right upper abdomen began for one day. | Gastroenterology
sudden alternating constipation and diarrhea on exertion | Feeling sudden alternating constipation and diarrhea on exertion appeared for one day. | Gastroenterology
acute diarrhea for a week | Having acute diarrhea for a week appeared for several weeks. | Gastroenterology
loud stomach gurgling | Suffering from loud stomach gurgling came on for several weeks. | Gastroenterology
intermittent alternating constipation and diarrhea | Having intermittent alternating constipation and diarrhea began for two hours. | Gastroenterology
throbbing diarrhea for a week at rest | Suffering from throbbing diarrhea for a week at rest started for 10 minutes. | Gastroenterology
sharp loss of appetite | Having sharp loss of appetite started for a week. | Gastroenterology
diarrhea for a week with minimal activity | Feeling diarrhea for a week with minimal activity began since this morning. | Gastroenterology
sensation of food stuck in chest with minimal activity | Experiencing sensation of food stuck in chest with minimal activity started for a week. | Gastroenterology
burning unexplained weight loss | Suffering from burning unexplained weight loss started for a week. | Gastroenterology
sudden abdominal pain after eating | Experiencing sudden abdominal pain after eating appeared for two hours. | Gastroenterology
crushing black tarry stools | Having crushing black tarry stools started since yesterday. | Gastroenterology
acute difficulty swallowing solids at night | Feeling acute difficulty swallowing solids at night began for one day. | Gastroenterology
crushing bloating when lying down | Suffering from crushing bloating when lying down started since this morning. | Gastroenterology
sudden loss of appetite when lying down | Suffering from sudden loss of appetite when lying down came on since last night. | Gastroenterology
severe heartburn at night when lying down | Noticing severe heartburn at night when lying down started for two hours. | Gastroenterology
acute unexplained weight loss | Having acute unexplained weight loss came on for 10 minutes. | Gastroenterology
severe bloating | Having severe bloating appeared for six months. | Gastroenterology
chronic constipation in the morning | Having chronic constipation in the morning appeared for two hours. | Gastroenterology
fatty stools | Feeling fatty stools came on for several weeks. | Gastroenterology
chronic vomiting undigested food | Noticing chronic vomiting undigested food came on for a week. | Gastroenterology
intermittent abdominal swelling with minimal activity | Having intermittent abdominal swelling with minimal activity started for a week. | Gastroenterology
sudden projectile vomiting | Noticing sudden projectile vomiting started for six months. | Gastroenterology
vomiting undigested food | Having vomiting undigested food started for six months. | Gastroenterology
sharp yellowing skin and eyes worsening over time | Suffering from sharp yellowing skin and eyes worsening over time appeared for 10 minutes. | Gastroenterology
persistent vomiting undigested food for several days | Suffering from persistent vomiting undigested food for several days started for 10 minutes. | Gastroenterology
sudden mucus in stool | Experiencing sudden mucus in stool appeared for three days. | Gastroenterology
vomiting undigested food after meals | Experiencing vomiting undigested food after meals started for a week. | Gastroenterology
sudden yellowing skin and eyes | Experiencing sudden yellowing skin and eyes came on for one day. | Gastroenterology
throbbing pain in right upper abdomen | Experiencing throbbing pain in right upper abdomen began since this morning. | Gastroenterology
sudden diarrhea for a week | Suffering from sudden diarrhea for a week started for 10 minutes. | Gastroenterology
throbbing abdominal pain after eating | Noticing throbbing abdominal pain after eating appeared for one day. | Gastroenterology
persistent loud stomach gurgling with minimal activity | Suffering from persistent loud stomach gurgling with minimal activity appeared for six months. | Gastroenterology
burning heartburn at night | Experiencing burning heartburn at night started for 10 minutes. | Gastroenterology
indigestion | Having indigestion came on for a week. | Gastroenterology
chronic weakness on one side | Feeling chronic weakness on one side started for a week. | Neurology
drooping eyelid | Noticing drooping eyelid appeared for six months. | Neurology
uncontrolled movements | Feeling uncontrolled movements started since last night. | Neurology
tingling feet | Feeling tingling feet came on since yesterday. | Neurology
acute chronic back pain radiating to leg | Experiencing acute chronic back pain radiating to leg began for a week. | Neurology
intermittent balance problems | Experiencing intermittent balance problems began for several weeks. | Neurology
severe memory loss of recent events | Feeling severe memory loss of recent events appeared for two hours. | Neurology
sudden persistent dizziness | Experiencing sudden persistent dizziness began for one day. | Neurology
persistent difficulty speaking | Experiencing persistent difficulty speaking appeared for two hours. | Neurology
severe restless legs at night when lying down | Having severe restless legs at night when lying down came on for three days. | Neurology
dull pins and needles in fingers | Having dull pins and needles in fingers started for 10 minutes. | Neurology
loss of smell | Noticing loss of smell came on for 10 minutes. | Neurology
dull uncontrolled movements | Experiencing dull uncontrolled movements appeared since yesterday. | Neurology
burning loss of smell on exertion | Suffering from burning loss of smell on exertion came on for a week. | Neurology
intermittent burning sensation in legs | Suffering from intermittent burning sensation in legs appeared for six months. | Neurology
crushing balance problems | Suffering from crushing balance problems started for several weeks. | Neurology
sharp difficulty walking straight | Noticing sharp difficulty walking straight appeared for three days. | Neurology
severe uncontrolled movements | Having severe uncontrolled movements came on for one day. | Neurology
throbbing pins and needles in fingers | Feeling throbbing pins and needles in fingers came on since yesterday. | Neurology
persistent frequent headaches at rest | Suffering from persistent frequent headaches at rest came on since yesterday. | Neurology
burning uncontrolled movements | Suffering from burning uncontrolled movements came on for two hours. | Neurology
crushing seizures once a month on exertion | Suffering from crushing seizures once a month on exertion appeared for 10 minutes. | Neurology
slow thinking | Experiencing slow thinking appeared since this morning. | Neurology
acute slow thinking | Noticing acute slow thinking appeared for one day. | Neurology
memory loss of recent events for several days | Feeling memory loss of recent events for several days came on for two hours. | Neurology
acute seizures once a month after meals | Feeling acute seizures once a month after meals appeared for two hours. | Neurology
acute burning sensation in legs | Having acute burning sensation in legs appeared for several weeks. | Neurology
numbness in hands on exertion | Suffering from numbness in hands on exertion started for one day. | Neurology
memory loss of recent events | Suffering from memory loss of recent events appeared for three days. | Neurology
dull slow thinking | Noticing dull slow thinking came on for two hours. | Neurology
persistent chronic back pain radiating to leg | Suffering from persistent chronic back pain radiating to leg started for six months. | Neurology
persistent dizziness with minimal activity | Suffering from persistent dizziness with minimal activity began for several weeks. | Neurology
acute pins and needles in fingers when lying down | Experiencing acute pins and needles in fingers when lying down appeared for several weeks. | Neurology
intermittent weakness on one side | Feeling intermittent weakness on one side began for 10 minutes. | Neurology
seizures once a month | Noticing seizures once a month began for a week. | Neurology
muscle stiffness | Having muscle stiffness started since this morning. | Neurology
persistent dizziness | Experiencing persistent dizziness started for 10 minutes. | Neurology
severe persistent dizziness worsening over time | Experiencing severe persistent dizziness worsening over time started since last night. | Neurology
persistent frequent headaches | Experiencing persistent frequent headaches appeared for several weeks. | Neurology
chronic uncontrolled movements | Experiencing chronic uncontrolled movements started since yesterday. | Neurology
breathlessness climbing one flight of stairs | Having breathlessness climbing one flight of stairs appeared for 10 minutes. | Pulmonology
severe sudden shortness of breath after flight | Suffering from severe sudden shortness of breath after flight began since this morning. | Pulmonology
severe tightness in chest | Suffering from severe tightness in chest appeared since last night. | Pulmonology
intermittent nighttime asthma symptoms at rest | Feeling intermittent nighttime asthma symptoms at rest appeared for three days. | Pulmonology
severe dry cough for months after exercise | Noticing severe dry cough for months after exercise came on for several weeks. | Pulmonology
crushing pleuritic chest pain | Having crushing pleuritic chest pain started for several weeks. | Pulmonology
burning sleep apnea snoring after meals | Noticing burning sleep apnea snoring after meals started for six months. | Pulmonology
nighttime asthma symptoms | Noticing nighttime asthma symptoms came on for three days. | Pulmonology
throbbing shortness of breath at rest after meals | Feeling throbbing shortness of breath at rest after meals began since yesterday. | Pulmonology
severe shortness of breath at rest | Experiencing severe shortness of breath at rest started since this morning. | Pulmonology
acute breathlessness climbing one flight of stairs | Suffering from acute breathlessness climbing one flight of stairs came on for several weeks. | Pulmonology
burning recurrent pneumonia | Noticing burning recurrent pneumonia began for three days. | Pulmonology
severe frequent bronchitis | Feeling severe frequent bronchitis started since last night. | Pulmonology
severe difficulty breathing when lying flat after meals | Suffering from severe difficulty breathing when lying flat after meals started for a week. | Pulmonology
coughing up blood | Experiencing coughing up blood started for two hours. | Pulmonology
tightness in chest when lying down | Noticing tightness in chest when lying down began for a week. | Pulmonology
dry cough for months | Feeling dry cough for months came on for two hours. | Pulmonology
severe tightness in chest after meals | Feeling severe tightness in chest after meals came on for six months. | Pulmonology
intermittent difficulty breathing when lying flat | Suffering from intermittent difficulty breathing when lying flat started for 10 minutes. | Pulmonology
sharp wheezing | Experiencing sharp wheezing appeared since this morning. | Pulmonology
dry cough for months at rest | Experiencing dry cough for months at rest came on since this morning. | Pulmonology
sudden shortness of breath after flight | Noticing sudden shortness of breath after flight came on for 10 minutes. | Pulmonology
sharp breathlessness climbing one flight of stairs | Feeling sharp breathlessness climbing one flight of stairs began since this morning. | Pulmonology
sharp noisy breathing | Feeling sharp noisy breathing began since this morning. | Pulmonology
throbbing chronic smoking cough | Experiencing throbbing chronic smoking cough started since this morning. | Pulmonology
exposure-related cough | Noticing exposure-related cough started for several weeks. | Pulmonology
wheezing after exercise | Noticing wheezing after exercise started since this morning. | Pulmonology
chronic wheezing when lying down | Having chronic wheezing when lying down came on since last night. | Pulmonology
crushing wheezing at night | Experiencing crushing wheezing at night began since this morning. | Pulmonology
acute chronic smoking cough | Suffering from acute chronic smoking cough began for several weeks. | Pulmonology
crushing productive cough with green sputum | Feeling crushing productive cough with green sputum began since yesterday. | Pulmonology
acute reduced exercise tolerance due to breathlessness | Noticing acute reduced exercise tolerance due to breathlessness appeared for a week. | Pulmonology
chronic smoking cough | Feeling chronic smoking cough started for several weeks. | Pulmonology
chronic cough | Suffering from chronic cough appeared for several weeks. | Pulmonology
intermittent chronic smoking cough after meals | Suffering from intermittent chronic smoking cough after meals came on for six months. | Pulmonology
crushing noisy breathing for several days | Suffering from crushing noisy breathing for several days appeared for one day. | Pulmonology
tightness in chest | Having tightness in chest came on for six months. | Pulmonology
crushing coughing up blood in the morning | Experiencing crushing coughing up blood in the morning came on since yesterday. | Pulmonology
dull sudden shortness of breath after flight | Experiencing dull sudden shortness of breath after flight came on for 10 minutes. | Pulmonology
difficulty breathing when lying flat on exertion | Having difficulty breathing when lying flat on exertion came on for several weeks. | Pulmonology
shin splints | Experiencing shin splints began for 10 minutes. | Orthopedics
persistent swollen painful knee after injury after exercise | Having persistent swollen painful knee after injury after exercise came on for 10 minutes. | Orthopedics
persistent hand numbness at night for several days | Noticing persistent hand numbness at night for several days began for one day. | Orthopedics
crushing neck pain after whiplash | Having crushing neck pain after whiplash appeared for three days. | Orthopedics
finger joint stiffness morning | Feeling finger joint stiffness morning began for six months. | Orthopedics
shin splints worsening over time | Having shin splints worsening over time appeared for six months. | Orthopedics
shin splints on exertion | Suffering from shin splints on exertion started for one day. | Orthopedics
heel pain when standing | Experiencing heel pain when standing began for six months. | Orthopedics
sharp heel pain when standing | Feeling sharp heel pain when standing began for three days. | Orthopedics
tight hamstring muscle for several days | Suffering from tight hamstring muscle for several days started for one day. | Orthopedics
shin splints after meals | Feeling shin splints after meals started for several weeks. | Orthopedics
burning shin splints | Having burning shin splints started since this morning. | Orthopedics
rotator cuff injury symptoms | Experiencing rotator cuff injury symptoms came on for one day. | Orthopedics
wrist pain typing at night | Having wrist pain typing at night appeared for 10 minutes. | Orthopedics
throbbing swollen painful knee after injury | Suffering from throbbing swollen painful knee after injury began for a week. | Orthopedics
chronic rotator cuff injury symptoms | Feeling chronic rotator cuff injury symptoms began for six months. | Orthopedics
chronic lower back pain | Suffering from chronic lower back pain began for two hours. | Orthopedics
knee giving way | Suffering from knee giving way came on since yesterday. | Orthopedics
burning chronic lower back pain | Suffering from burning chronic lower back pain started for six months. | Orthopedics
severe hip pain while walking | Noticing severe hip pain while walking began since this morning. | Orthopedics
persistent rotator cuff injury symptoms | Suffering from persistent rotator cuff injury symptoms appeared for 10 minutes. | Orthopedics
intermittent rotator cuff injury symptoms | Experiencing intermittent rotator cuff injury symptoms started for six months. | Orthopedics
persistent neck pain after whiplash | Experiencing persistent neck pain after whiplash started for one day. | Orthopedics
painful bunion at night | Suffering from painful bunion at night started for a week. | Orthopedics
wrist pain typing | Experiencing wrist pain typing started since this morning. | Orthopedics
intermittent shin splints | Experiencing intermittent shin splints began for several weeks. | Orthopedics
burning neck pain after whiplash after meals | Experiencing burning neck pain after whiplash after meals began since last night. | Orthopedics
acute painful bunion on exertion | Noticing acute painful bunion on exertion started since this morning. | Orthopedics
painful bunion | Experiencing painful bunion began for six months. | Orthopedics
sudden heel pain when standing | Noticing sudden heel pain when standing began since last night. | Orthopedics
sharp rotator cuff injury symptoms | Suffering from sharp rotator cuff injury symptoms started for 10 minutes. | Orthopedics
tight hamstring muscle | Feeling tight hamstring muscle began since yesterday. | Orthopedics
persistent heel pain when standing on exertion | Feeling persistent heel pain when standing on exertion began for six months. | Orthopedics
elbow pain throwing | Noticing elbow pain throwing started for three days. | Orthopedics
knee pain climbing stairs for several days | Having knee pain climbing stairs for several days began for two hours. | Orthopedics
sharp racing thoughts | Feeling sharp racing thoughts began for several weeks. | Psychiatry
throbbing binge eating episodes on exertion | Suffering from throbbing binge eating episodes on exertion came on for one day. | Psychiatry
insomnia for weeks | Suffering from insomnia for weeks started since this morning. | Psychiatry
burning unable to relax | Having burning unable to relax came on since yesterday. | Psychiatry
intermittent insomnia for weeks | Having intermittent insomnia for weeks began since yesterday. | Psychiatry
acute insomnia for weeks on exertion | Experiencing acute insomnia for weeks on exertion began for two hours. | Psychiatry
unable to relax with minimal activity | Noticing unable to relax with minimal activity started for several weeks. | Psychiatry
chronic sleeping too little | Having chronic sleeping too little came on for two hours. | Psychiatry
sudden flashbacks of trauma | Suffering from sudden flashbacks of trauma appeared for several weeks. | Psychiatry
difficulty concentrating at work worsening over time | Experiencing difficulty concentrating at work worsening over time appeared for two hours. | Psychiatry
sleeping too little | Feeling sleeping too little appeared for two hours. | Psychiatry
auditory hallucinations | Suffering from auditory hallucinations started for two hours. | Psychiatry
severe loss of interest in activities | Experiencing severe loss of interest in activities appeared for a week. | Psychiatry
severe excessive worry | Feeling severe excessive worry started since this morning. | Psychiatry
crushing unable to relax | Suffering from crushing unable to relax came on since this morning. | Psychiatry
chronic flashbacks of trauma | Feeling chronic flashbacks of trauma began for 10 minutes. | Psychiatry
feeling worthless | Experiencing feeling worthless appeared for 10 minutes. | Psychiatry
throbbing racing thoughts | Having throbbing racing thoughts came on since last night. | Psychiatry
sudden persistent sadness at night | Suffering from sudden persistent sadness at night appeared since yesterday. | Psychiatry
loss of interest in activities | Feeling loss of interest in activities started since this morning. | Psychiatry
mood swings | Feeling mood swings came on since this morning. | Psychiatry
thoughts of self-harm | Noticing thoughts of self-harm began since this morning. | Psychiatry
feeling detached from reality | Experiencing feeling detached from reality started for three days. | Psychiatry
burning irritability | Experiencing burning irritability started since this morning. | Psychiatry
throbbing phobias interfering with life | Having throbbing phobias interfering with life came on for 10 minutes. | Psychiatry
obsessive hand washing | Having obsessive hand washing began for 10 minutes. | Psychiatry
persistent binge eating episodes | Noticing persistent binge eating episodes began since yesterday. | Psychiatry
burning persistent sadness | Suffering from burning persistent sadness appeared for two hours. | Psychiatry
intermittent phobias interfering with life | Experiencing intermittent phobias interfering with life came on for several weeks. | Psychiatry
sudden phobias interfering with life after meals | Feeling sudden phobias interfering with life after meals came on since this morning. | Psychiatry
severe insomnia for weeks | Suffering from severe insomnia for weeks began for several weeks. | Psychiatry
severe feeling worthless | Noticing severe feeling worthless began for several weeks. | Psychiatry
sudden sleeping too little | Feeling sudden sleeping too little came on since last night. | Psychiatry
sudden binge eating episodes | Noticing sudden binge eating episodes began for six months. | Psychiatry
episodes of mania | Having episodes of mania appeared for six months. | Psychiatry
lower abdominal pain in pregnancy | Having lower abdominal pain in pregnancy started for 10 minutes. | Obstetrics and Gynecology
severe painful cramps during periods | Feeling severe painful cramps during periods started for one day. | Obstetrics and Gynecology
persistent irregular cycles worsening over time | Having persistent irregular cycles worsening over time started for 10 minutes. | Obstetrics and Gynecology
throbbing pain during intercourse | Noticing throbbing pain during intercourse came on for 10 minutes. | Obstetrics and Gynecology
crushing severe morning sickness on exertion | Having crushing severe morning sickness on exertion began for three days. | Obstetrics and Gynecology
irregular cycles | Experiencing irregular cycles appeared since this morning. | Obstetrics and Gynecology
lower abdominal pain in pregnancy in the morning | Having lower abdominal pain in pregnancy in the morning appeared for a week. | Obstetrics and Gynecology
hot flashes | Feeling hot flashes began for three days. | Obstetrics and Gynecology
burning postmenopausal bleeding | Noticing burning postmenopausal bleeding appeared since last night. | Obstetrics and Gynecology
pelvic pressure | Feeling pelvic pressure started for one day. | Obstetrics and Gynecology
persistent vaginal discharge with odor | Experiencing persistent vaginal discharge with odor came on for six months. | Obstetrics and Gynecology
irregular cycles after meals | Experiencing irregular cycles after meals began since last night. | Obstetrics and Gynecology
chronic nausea during pregnancy | Experiencing chronic nausea during pregnancy started for six months. | Obstetrics and Gynecology
missed menstrual periods worsening over time | Feeling missed menstrual periods worsening over time appeared since yesterday. | Obstetrics and Gynecology
chronic positive home pregnancy test | Experiencing chronic positive home pregnancy test started since this morning. | Obstetrics and Gynecology
missed menstrual periods | Experiencing missed menstrual periods came on for 10 minutes. | Obstetrics and Gynecology
heavy menstrual bleeding | Feeling heavy menstrual bleeding appeared for two hours. | Obstetrics and Gynecology
postmenopausal bleeding | Suffering from postmenopausal bleeding came on since this morning. | Obstetrics and Gynecology
intermittent breast tenderness | Suffering from intermittent breast tenderness appeared for one day. | Obstetrics and Gynecology
sharp painful cramps during periods | Experiencing sharp painful cramps during periods appeared since this morning. | Obstetrics and Gynecology
dull vaginal discharge with odor | Experiencing dull vaginal discharge with odor came on since yesterday. | Obstetrics and Gynecology
severe morning sickness after meals | Suffering from severe morning sickness after meals came on for 10 minutes. | Obstetrics and Gynecology
pain during intercourse | Having pain during intercourse began since last night. | Obstetrics and Gynecology
painful cramps during periods | Feeling painful cramps during periods came on for two hours. | Obstetrics and Gynecology
dull vaginal discharge with odor worsening over time | Experiencing dull vaginal discharge with odor worsening over time began for one day. | Obstetrics and Gynecology
bleeding in early pregnancy | Noticing bleeding in early pregnancy appeared for a week. | Obstetrics and Gynecology
intermittent painful cramps during periods | Feeling intermittent painful cramps during periods began since this morning. | Obstetrics and Gynecology
dull missed menstrual periods | Having dull missed menstrual periods started for 10 minutes. | Obstetrics and Gynecology
intermittent itching during pregnancy | Noticing intermittent itching during pregnancy began since this morning. | Obstetrics and Gynecology
chronic itching during pregnancy | Noticing chronic itching during pregnancy started for 10 minutes. | Obstetrics and Gynecology
acute missed menstrual periods | Having acute missed menstrual periods appeared for several weeks. | Obstetrics and Gynecology
sharp hot flashes | Experiencing sharp hot flashes started since last night. | Obstetrics and Gynecology
burning contraception counseling at rest | Having burning contraception counseling at rest began for one day. | Obstetrics and Gynecology
breast tenderness | Suffering from breast tenderness began for several weeks. | Obstetrics and Gynecology
chronic prenatal care visit | Feeling chronic prenatal care visit started since yesterday. | Obstetrics and Gynecology
intermittent difficulty swallowing progressively worse in the morning | Noticing intermittent difficulty swallowing progressively worse in the morning began for six months. | Oncology
sudden bone pain at night | Having sudden bone pain at night came on for one day. | Oncology
non-healing ulcer | Experiencing non-healing ulcer began for a week. | Oncology
acute blood in sputum after exercise | Feeling acute blood in sputum after exercise came on for several weeks. | Oncology
